"H.Samahati","SOUTH SULAWESI"
"Tesla","TESLA"
"Stanby","Meltzer"
"Fu Zhong","Huang"
"JANSMA","Netherlands"
"d lusk","SA"
"Westra","Croatie"
"Holland","Bulgaria"
"Riantini","GABSISenayan Ladies"
"Thomson","Australia"
"Hargreaves","Fraser"
"Beauchamp","Chadwick"
"Altschuler","Altshuler"
"NONOO","BAHRAIN"
"Soban","GEOLOGI TIMAH"
"K.R.V.Rama","Chennai Online"
"Letizia","Moss"
"Lev","Ekeblad"
"ZHUANG. Z","POLAND"
"RAJU T","Manyawar"
"Honti","Hungary"
"Vinciguerr","MARI"
"DRIEUX","Reunion"
"Chauvelot","Polytech"
"Zotos","Roussos"
"J. Huang","Nan-Yuan"
"Balicki","SIGNITY AZS PWR"
"Wu TL","Chinese Taipei"
"Zhang ZP","Jiang You"
"Granovette","Jansma"
"Ueda","Team 2"
"Yamazaki","GELLER"
"v. Leeuwen","Neth Girls and boys"
"Rimstedt","Hansen"
"SARNIAK An","POLAND"
"Groetheim","NORWAY"
"Nowosadzki","Bridge24"
"Isporski","Bulgaria"
"M Teixeira","M Teixeira"
"Babsch","VAN HELSING"
"Liu Yan","China"
"Cseho","Tutu"
"TROUWBORST","Netherlands"
"Helgemo","Zimmermann"
"Schollaar","L'Orange"
"Zmudzinski","Vytas"
"Thomson","Marston"
"Rosner","McKellar"
"Coldea","Leroumain's boys"
"SHUDNEV","KIRILENKO"
"Saporta.R","Annecy BC"
"SAKOWSKA","Poland"
"BURAS","Poland "
"Dubinin","SIGNITY AZS PWR"
"VALDES","VENEZUELA"
"Landen","Harris"
"Ju.Hackett","Fharon"
"S. Probst","Kaya"
"POLLACK","Narasimhan"
"La Rovere","Brazil"
"Upmark","Sweden"
"leca","Ocean BC"
"P. Juuri-O","Nikotiimi"
"Malaczynsk","Neill"
"Yan Lu","CHINA LADIES"
"BAKHSHI","England"
"Maas ","Team 1"
"Blomqvist","Finland"
"Zepic","Croatia"
"CHOKSI","INDIA"
"Kolata","TURKEY"
"MULLER","ONSTEIN ACES"
"yang","England U20"
"Arrigoni G","Italy"
"Zhang","China"
"Harris","WALES"
"Aronov","DeKnijff"
"C Cheek","USA"
"Brum P","Brum"
"RINALDI","VILLA FABBRICHE"
"Stefanov","JULS"
"Lindkvist","SWEDEN"
"Beery","Ames"
"Jonsson P","ICE"
"Garozzo","CAYNE"
"golebiows","Vytas"
"T Bakkeren","BC 't Onstein 2"
"HAMAOUI","VINCI"
"HALLBERG","VENTIN"
"A Yamada","Japan"
"Fouassier","Serf"
"i   hacket","England"
"Attanasio ","Catania Failla"
"BADAL DAS","J.P.Goenka"
"Poslednik P","CZR"
"KOISTINEN","FINLAND"
"TO JONSSON","AUSTRIA"
"ANDERSSEN","NORWAY"
"Sun GQ","Nong Fa Hang"
"Naels","Naels"
"B Cronier","France"
"Gu ZH","Pudong Pufa"
"C.Sampaio","Aloi"
"Simonsen","Faroe Islands"
"GEORGIEVA","Bulgaria"
"Deijver","Netherlands"
"Burgess","Team 1"
"LEVY A-F","ALAIN LEVY"
"Vinciguerra","Mari "
"Perryman","Green Team"
"Sussel","SOULET"
"B.POLII","DKI Jakarta"
"S C Cheng","FOS"
"Ma JH","Meikuang"
"CULLIN","BKSE Sweden"
"DOBBELS Ti","DEHAYE"
"KAMIL","Fleisher"
"DWYER","USA1"
"KLEMMENSEN","DENMARK"
"SF. Hu","Chinese Taipei"
"DUBININ","RUS BC Real"
"VAN MOL","SQUEEZE"
"SEMENTA","G.S. Allegra"
"Li ZG","SANY"
"Dianita","Budkin"
"MILES","CANADA"
"Voldoire","HIRCHWALD"
"Mrs Senior","Team 1"
"Chaugny","France Girls"
"Johansen","Norway"
"BATES","USA 2"
"Wolpert","Fireman"
"Helmich","EW"
"I. Ivanov","Rosenovo"
"L.Stern","Brogeland"
"Wolpert","Fireman npc"
"maurice","AGOSTINI"
"BONEV","BULGARIA"
"van Mechel","Belgium"
"KOISTINEN","Finland"
"Starkowski","Sygnity"
"Ferry M","Bank Mandiri Manado"
"BOMPIS","BOMPIS"
"B.Blanchar","MILGRIM"
"Berglund","Liu"
"Kriftner S","Austria"
"Almirall M","Almirall"
"Rosenberg","Rosenthal"
"SUN","BEIJING TRINERGY"
"A.Madala","Italy Lavazza"
"Green","Helle"
"GOLD  D","GROSS"
"Cuthbertso","Gold Cup"
"PASQUINI","ZALENSKI"
"Meade","Eire"
"DISA","QUINN"
"D.von ARNIM","Germany"
"IVANOV","Chateau Rossenovo"
"WU","CHINESE TAIPEI"
"T Lloyd","New Zealand 1"
"D Synnott","Ireland"
"Iordache","Romania 1"
"T.Rogi","MANDIRI MINAHASA"
"MEYERS","USA"
"CAITI","PATANE'"
"GRUE","O'ROURKE"
"MVsubbarao","Kaushik"
"Robinson","Thomson"
"M Branco","Robertinho"
